feature,top_pos_contribution,top_neg_contribution
age,508.0,166.0
fnlwgt,200.0,296.0
education-num,317.0,354.0
sex,62.0,197.0
capital-gain,16.0,611.0
capital-loss,11.0,257.0
hours-per-week,379.0,172.0
workclass_Non-Private,84.0,168.0
workclass_Private,56.0,150.0
marital-status_Married,584.0,124.0
marital-status_Non-Married,589.0,120.0
occupation_Managerial-Specialist,188.0,273.0
occupation_Other,227.0,311.0
relationship_Husband,123.0,96.0
relationship_Non-Husband,122.0,143.0
race_Non-White,47.0,38.0
race_White,38.0,46.0
native-country_Non-US,25.0,36.0
native-country_US,43.0,32.0
