feature,top_pos_contribution,top_neg_contribution
age,8.0,1.0
fnlwgt,2.0,2.0
education-num,9.0,0.0
sex,0.0,3.0
capital-gain,2.0,7.0
capital-loss,0.0,5.0
hours-per-week,1.0,3.0
workclass_Non-Private,0.0,2.0
workclass_Private,0.0,4.0
marital-status_Married,6.0,3.0
marital-status_Non-Married,5.0,3.0
occupation_Managerial-Specialist,6.0,1.0
occupation_Other,4.0,1.0
relationship_Husband,1.0,0.0
relationship_Non-Husband,1.0,0.0
race_Non-White,0.0,3.0
race_White,0.0,3.0
native-country_Non-US,0.0,1.0
native-country_US,0.0,1.0
