feature,top_pos_contribution,top_neg_contribution
age,80.0,3.0
fnlwgt,32.0,16.0
education-num,77.0,10.0
sex,2.0,46.0
capital-gain,0.0,75.0
capital-loss,2.0,41.0
hours-per-week,58.0,10.0
workclass_Non-Private,4.0,23.0
workclass_Private,1.0,19.0
marital-status_Married,79.0,1.0
marital-status_Non-Married,86.0,2.0
occupation_Managerial-Specialist,12.0,28.0
occupation_Other,12.0,28.0
relationship_Husband,3.0,23.0
relationship_Non-Husband,2.0,25.0
race_Non-White,2.0,6.0
race_White,6.0,8.0
native-country_Non-US,1.0,15.0
native-country_US,1.0,16.0
