feature,top_pos_contribution,top_neg_contribution
age,174.0,15.0
fnlwgt,73.0,53.0
education-num,171.0,20.0
sex,6.0,99.0
capital-gain,1.0,170.0
capital-loss,4.0,97.0
hours-per-week,118.0,15.0
workclass_Non-Private,5.0,47.0
workclass_Private,7.0,51.0
marital-status_Married,184.0,5.0
marital-status_Non-Married,193.0,6.0
occupation_Managerial-Specialist,28.0,65.0
occupation_Other,38.0,66.0
relationship_Husband,9.0,53.0
relationship_Non-Husband,8.0,62.0
race_Non-White,6.0,24.0
race_White,6.0,26.0
native-country_Non-US,5.0,28.0
native-country_US,4.0,23.0
