feature,top_pos_contribution,top_neg_contribution
age,81.0,14.0
fnlwgt,41.0,32.0
education-num,48.0,43.0
capital-gain,3.0,77.0
capital-loss,3.0,15.0
hours-per-week,33.0,38.0
workclass_Non-Private,21.0,29.0
workclass_Private,25.0,33.0
marital-status_Married,47.0,47.0
marital-status_Non-Married,47.0,50.0
occupation_Managerial-Specialist,39.0,28.0
occupation_Other,48.0,27.0
relationship_Husband,0.0,0.0
relationship_Non-Husband,0.0,0.0
race_Non-White,19.0,13.0
race_White,19.0,16.0
native-country_Non-US,10.0,13.0
native-country_US,11.0,10.0
