feature,top_pos_contribution,top_neg_contribution
age,664.0,161.0
fnlwgt,232.0,178.0
education-num,422.0,383.0
capital-gain,13.0,821.0
capital-loss,13.0,514.0
hours-per-week,624.0,102.0
workclass_Non-Private,2.0,41.0
workclass_Private,1.0,53.0
marital-status_Married,672.0,163.0
marital-status_Non-Married,672.0,163.0
occupation_Managerial-Specialist,130.0,429.0
occupation_Other,293.0,513.0
relationship_Husband,66.0,232.0
relationship_Non-Husband,30.0,268.0
race_Non-White,269.0,64.0
race_White,2.0,2.0
native-country_Non-US,69.0,44.0
native-country_US,6.0,22.0
