feature,top_pos_contribution,top_neg_contribution
age,488.0,145.0
fnlwgt,167.0,315.0
education-num,266.0,363.0
sex,61.0,164.0
capital-gain,16.0,573.0
capital-loss,6.0,215.0
hours-per-week,363.0,162.0
workclass_Non-Private,77.0,139.0
workclass_Private,55.0,127.0
marital-status_Married,549.0,120.0
marital-status_Non-Married,554.0,114.0
occupation_Managerial-Specialist,168.0,275.0
occupation_Other,208.0,299.0
relationship_Husband,131.0,85.0
relationship_Non-Husband,124.0,117.0
race_Non-White,53.0,41.0
race_White,46.0,46.0
native-country_Non-US,28.0,41.0
native-country_US,42.0,39.0
