feature,top_pos_contribution,top_neg_contribution
age,28.0,9.0
fnlwgt,11.0,8.0
education-num,25.0,7.0
sex,8.0,12.0
capital-gain,0.0,24.0
capital-loss,0.0,8.0
hours-per-week,15.0,9.0
workclass_Non-Private,0.0,9.0
workclass_Private,1.0,7.0
marital-status_Married,16.0,21.0
marital-status_Non-Married,15.0,21.0
occupation_Managerial-Specialist,17.0,11.0
occupation_Other,13.0,8.0
relationship_Husband,13.0,7.0
relationship_Non-Husband,10.0,8.0
race_Non-White,4.0,3.0
race_White,3.0,3.0
native-country_Non-US,2.0,4.0
native-country_US,4.0,4.0
