feature,top_pos_contribution,top_neg_contribution
age,508.0,142.0
fnlwgt,380.0,40.0
education-num,407.0,229.0
sex,11.0,310.0
capital-gain,19.0,653.0
capital-loss,12.0,323.0
hours-per-week,250.0,300.0
workclass_Non-Private,6.0,24.0
workclass_Private,7.0,47.0
marital-status_Married,267.0,411.0
marital-status_Non-Married,266.0,412.0
occupation_Managerial-Specialist,421.0,129.0
occupation_Other,418.0,144.0
relationship_Husband,107.0,0.0
relationship_Non-Husband,79.0,2.0
race_Non-White,32.0,49.0
race_White,111.0,61.0
native-country_Non-US,6.0,16.0
native-country_US,82.0,52.0
