feature,top_pos_contribution,top_neg_contribution
age,181.0,125.0
fnlwgt,184.0,2.0
education-num,113.0,184.0
sex,126.0,4.0
capital-gain,9.0,308.0
capital-loss,1.0,162.0
hours-per-week,201.0,51.0
workclass_Non-Private,0.0,6.0
workclass_Private,1.0,18.0
marital-status_Married,208.0,109.0
marital-status_Non-Married,209.0,108.0
occupation_Managerial-Specialist,109.0,176.0
occupation_Other,113.0,171.0
relationship_Husband,18.0,70.0
relationship_Non-Husband,21.0,22.0
race_Non-White,12.0,13.0
race_White,47.0,23.0
native-country_Non-US,1.0,4.0
native-country_US,31.0,22.0
