feature,top_pos_contribution,top_neg_contribution
age,240.0,9.0
fnlwgt,94.0,61.0
education-num,232.0,21.0
capital-gain,1.0,236.0
capital-loss,8.0,129.0
hours-per-week,177.0,17.0
workclass_Non-Private,10.0,77.0
workclass_Private,13.0,71.0
marital-status_Married,270.0,11.0
marital-status_Non-Married,259.0,9.0
occupation_Managerial-Specialist,46.0,80.0
occupation_Other,41.0,72.0
relationship_Husband,9.0,123.0
relationship_Non-Husband,7.0,109.0
race_Non-White,2.0,41.0
race_White,5.0,36.0
native-country_Non-US,2.0,40.0
native-country_US,4.0,48.0
