feature,top_pos_contribution,top_neg_contribution
age,233.0,16.0
fnlwgt,1.0,54.0
education-num,258.0,5.0
capital-gain,6.0,266.0
capital-loss,5.0,232.0
hours-per-week,153.0,27.0
workclass_Non-Private,0.0,81.0
workclass_Private,0.0,88.0
marital-status_Married,9.0,6.0
marital-status_Non-Married,235.0,3.0
occupation_Managerial-Specialist,3.0,81.0
occupation_Other,70.0,87.0
relationship_Husband,264.0,4.0
relationship_Non-Husband,123.0,3.0
race_Non-White,0.0,26.0
race_White,0.0,19.0
native-country_Non-US,0.0,23.0
native-country_US,0.0,23.0
