age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
59,193375,14,0,0,10,0,1,1,0,1,0,0,1,0,1,0,1
45,189564,14,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
34,178623,13,0,0,35,0,1,1,0,1,0,0,1,1,0,0,1
34,114733,12,0,0,36,1,0,1,0,1,0,0,1,0,1,0,1
37,330826,11,0,0,30,0,1,1,0,1,0,0,1,0,1,0,1
62,159908,13,0,1258,38,1,0,1,0,1,0,0,1,0,1,0,1
59,333270,14,0,0,35,0,1,1,0,0,1,0,1,1,0,1,0
49,117310,12,0,0,38,0,1,1,0,1,0,0,1,0,1,0,1
44,328561,11,0,0,20,0,1,1,0,1,0,0,1,0,1,0,1
39,85783,13,0,0,28,0,1,1,0,1,0,0,1,0,1,0,1
38,22494,10,7443,0,40,0,1,0,1,1,0,0,1,0,1,0,1
55,37869,16,0,0,60,1,0,0,1,1,0,0,1,0,1,0,1
35,316141,10,7443,0,40,0,1,0,1,1,0,0,1,0,1,0,1
39,119421,13,0,0,42,1,0,1,0,1,0,0,1,0,1,0,1
58,179089,13,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
51,245873,10,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
34,255830,12,7443,0,40,0,1,0,1,0,1,0,1,1,0,0,1
35,150217,13,0,0,24,0,1,1,0,0,1,0,1,0,1,1,0
28,255254,13,0,0,37,1,0,1,0,1,0,0,1,1,0,0,1
44,264016,13,0,0,40,1,0,1,0,1,0,0,1,1,0,0,1
45,185497,13,0,0,70,1,0,1,0,1,0,0,1,1,0,1,0
38,217409,10,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
58,223400,12,0,0,35,0,1,1,0,0,1,0,1,0,1,1,0
43,215896,10,0,0,50,1,0,1,0,1,0,0,1,0,1,0,1
27,104017,13,0,1628,50,0,1,1,0,1,0,0,1,0,1,0,1
