age,fnlwgt,education-num,sex,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
29,263786,13,1,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
44,314739,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
40,442045,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
50,219420,9,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
36,129150,9,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
31,157887,10,1,0,0,65,0,1,1,0,1,0,1,0,0,1,0,1
58,219504,8,1,0,0,45,0,1,0,1,0,1,0,1,1,0,0,1
81,98116,13,1,0,0,50,0,1,0,1,0,1,0,1,0,1,0,1
30,169002,13,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
36,247807,11,1,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
38,231491,9,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
50,172052,9,1,0,0,35,0,1,1,0,1,0,1,0,1,0,1,0
33,159123,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
51,173987,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
27,229223,10,0,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
52,186117,9,1,0,0,56,1,0,1,0,0,1,1,0,0,1,0,1
46,123598,10,1,0,0,48,0,1,1,0,0,1,1,0,0,1,0,1
39,184964,10,1,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
45,102147,11,1,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
35,151835,9,1,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
42,79531,10,1,0,0,55,1,0,1,0,1,0,1,0,0,1,0,1
35,196123,12,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
24,360077,7,1,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
43,137126,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
52,68015,10,1,0,0,90,1,0,1,0,0,1,1,0,0,1,0,1
54,33863,9,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
33,162572,9,1,0,0,55,0,1,1,0,0,1,1,0,0,1,0,1
50,98350,10,1,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
42,144056,11,1,0,0,40,0,1,1,0,0,1,1,0,1,0,0,1
36,219155,10,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
49,184285,9,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
33,101345,9,0,0,0,42,0,1,1,0,1,0,0,1,0,1,1,0
61,298400,13,1,4787,0,48,0,1,0,1,0,1,0,1,1,0,0,1
58,314153,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
43,128212,3,0,0,0,40,0,1,1,0,1,0,0,1,1,0,1,0
56,403072,10,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
26,402998,13,1,0,0,58,0,1,1,0,1,0,1,0,0,1,0,1
28,180271,13,1,0,0,65,1,0,1,0,0,1,1,0,0,1,0,1
54,137065,16,0,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
38,187046,9,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
32,222205,10,0,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
50,193720,9,1,0,0,70,1,0,1,0,1,0,1,0,0,1,1,0
50,279129,13,1,0,0,55,0,1,0,1,1,0,0,1,0,1,0,1
59,142182,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
50,159670,9,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
56,170070,9,0,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
34,56026,9,1,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
27,29261,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
35,105138,13,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
27,298635,14,1,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
53,277471,11,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
50,31621,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
42,256813,10,1,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
40,34722,10,1,0,0,48,0,1,0,1,0,1,0,1,0,1,0,1
75,124660,9,0,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
57,61885,9,1,0,0,60,1,0,1,0,1,0,1,0,1,0,0,1
42,168071,9,1,0,0,43,1,0,1,0,0,1,1,0,0,1,0,1
30,311913,9,0,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
52,320877,9,1,0,0,40,0,1,1,0,1,0,1,0,1,0,0,1
43,174090,9,0,0,0,20,1,0,1,0,1,0,0,1,0,1,0,1
51,114758,7,1,0,0,48,0,1,1,0,1,0,1,0,0,1,0,1
42,449925,13,1,0,0,40,0,1,0,1,0,1,0,1,0,1,0,1
30,243233,10,1,0,0,48,1,0,1,0,0,1,1,0,0,1,0,1
27,107812,13,1,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
43,184625,9,0,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
22,164775,3,1,0,0,40,1,0,0,1,0,1,0,1,0,1,1,0
47,55272,10,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
60,27886,10,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
67,176388,10,0,0,0,50,1,0,0,1,1,0,0,1,0,1,0,1
32,169589,11,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
