age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
61,91726,14,0,0,40,1,0,1,0,0,1,0,1,0,1,0,1
27,32452,14,0,0,20,0,1,1,0,1,0,0,1,0,1,0,1
29,217424,14,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
40,178983,9,0,0,30,0,1,1,0,1,0,0,1,0,1,0,1
34,196512,9,0,2472,35,1,0,0,1,1,0,0,1,0,1,0,1
24,188505,13,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
35,354520,13,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
47,176140,9,0,0,40,0,1,0,1,1,0,0,1,1,0,0,1
47,123207,9,0,0,20,0,1,1,0,1,0,0,1,0,1,0,1
34,101345,9,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
45,121676,10,0,0,36,0,1,1,0,1,0,0,1,0,1,0,1
32,222900,13,0,0,50,1,0,0,1,1,0,0,1,0,1,0,1
39,125550,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
36,130620,9,0,0,40,1,0,1,0,1,0,0,1,1,0,1,0
49,168598,9,0,0,40,1,0,1,0,1,0,0,1,1,0,0,1
41,191451,14,0,0,60,0,1,0,1,1,0,0,1,1,0,0,1
55,334308,9,0,0,30,0,1,1,0,1,0,0,1,0,1,0,1
39,202937,14,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
35,23892,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
25,77661,13,0,2444,40,1,0,0,1,1,0,0,1,0,1,0,1
54,137065,16,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
46,53540,10,0,0,40,0,1,0,1,1,0,0,1,1,0,0,1
59,175689,10,0,0,14,0,1,1,0,1,0,0,1,0,1,1,0
26,100147,13,0,0,45,0,1,1,0,1,0,0,1,0,1,0,1
50,425804,13,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
43,169628,13,0,0,35,0,1,0,1,0,1,0,1,1,0,0,1
29,184723,10,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
73,402363,14,0,0,16,0,1,1,0,0,1,0,1,0,1,0,1
62,155094,11,0,0,45,0,1,1,0,1,0,0,1,0,1,0,1
40,178866,9,0,0,20,1,0,1,0,1,0,0,1,0,1,0,1
61,159908,7,0,0,32,1,0,0,1,0,1,0,1,0,1,0,1
39,47871,13,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
29,135296,13,0,2258,45,0,1,0,1,1,0,0,1,0,1,0,1
34,320077,13,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
23,102942,13,0,2258,40,0,1,0,1,1,0,0,1,0,1,0,1
46,124071,14,0,0,65,1,0,0,1,1,0,0,1,0,1,0,1
35,462832,9,0,0,40,1,0,1,0,0,1,0,1,1,0,0,1
62,159908,10,0,0,38,0,1,1,0,1,0,0,1,0,1,0,1
28,192283,14,0,0,80,0,1,0,1,0,1,0,1,0,1,0,1
31,216283,12,0,0,35,1,0,1,0,0,1,0,1,0,1,0,1
29,103628,10,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
49,166809,13,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
43,128212,3,0,0,40,0,1,1,0,1,0,0,1,1,0,1,0
50,31014,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
60,216574,13,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
