age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
47,30457,11,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
43,193755,13,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
36,172538,14,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
44,220563,10,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
43,153489,13,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
40,173307,6,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
47,170850,13,0,0,48,0,1,1,0,0,1,1,0,0,1,0,1
59,303176,10,0,2179,40,1,0,1,0,1,0,1,0,0,1,0,1
60,119471,12,0,0,40,1,0,1,0,1,0,1,0,1,0,1,0
45,109434,13,0,0,55,0,1,1,0,1,0,1,0,0,1,0,1
55,349910,12,0,0,60,1,0,1,0,0,1,1,0,0,1,0,1
35,264758,10,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
31,190650,14,0,0,40,1,0,1,0,0,1,1,0,1,0,0,1
24,22201,9,0,0,40,0,1,1,0,0,1,1,0,1,0,1,0
65,193365,10,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
44,230684,9,0,0,45,0,1,1,0,0,1,1,0,0,1,0,1
36,185360,9,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
46,199378,15,0,0,90,0,1,0,1,1,0,0,1,0,1,0,1
42,29320,13,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
48,355978,14,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
59,184553,9,0,0,45,0,1,1,0,0,1,1,0,0,1,0,1
35,103323,14,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
31,102130,14,0,0,45,1,0,1,0,1,0,1,0,0,1,0,1
47,159869,16,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
44,261899,10,0,0,44,0,1,1,0,1,0,1,0,0,1,0,1
41,253189,10,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
50,30682,14,0,0,50,1,0,1,0,1,0,1,0,0,1,0,1
38,30916,12,0,0,60,1,0,1,0,0,1,1,0,0,1,0,1
29,124953,13,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
38,111377,10,0,0,55,0,1,1,0,1,0,1,0,0,1,0,1
37,126569,13,0,0,60,1,0,1,0,0,1,1,0,0,1,0,1
31,409622,13,0,0,36,0,1,1,0,1,0,1,0,1,0,1,0
48,250733,10,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
43,239161,10,0,0,40,0,1,1,0,0,1,1,0,1,0,0,1
53,394765,14,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
43,48193,12,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
61,178312,10,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
40,92036,13,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
