age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
54,124993,9,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
46,422813,10,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
57,122562,6,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
25,198986,13,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
32,116539,10,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
33,83413,10,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
45,304973,9,0,0,78,1,0,1,0,0,1,1,0,0,1,0,1
31,144064,9,0,0,48,0,1,1,0,0,1,1,0,0,1,0,1
35,45607,14,0,0,60,1,0,0,1,1,0,0,1,0,1,0,1
37,202950,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
38,40955,13,0,0,40,0,1,1,0,1,0,1,0,0,1,1,0
29,152951,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
32,43959,13,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
36,313853,13,0,0,45,1,0,0,1,0,1,0,1,1,0,0,1
28,180271,13,0,0,65,1,0,1,0,0,1,1,0,0,1,0,1
40,190290,13,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
47,192894,9,0,0,50,1,0,1,0,0,1,1,0,1,0,0,1
32,53206,13,0,0,50,0,1,0,1,0,1,0,1,0,1,0,1
48,86009,11,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
45,179638,14,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
33,260782,10,0,0,41,0,1,1,0,0,1,1,0,0,1,0,1
34,233727,13,0,0,50,1,0,1,0,1,0,1,0,0,1,0,1
39,51100,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
42,373469,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
29,224215,10,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
32,127651,9,0,0,46,0,1,1,0,0,1,1,0,0,1,0,1
59,293971,10,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
35,308945,10,0,0,50,1,0,1,0,1,0,1,0,0,1,0,1
51,120270,11,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
33,119913,11,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
32,149787,11,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
79,163140,9,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
44,79531,11,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
60,201965,10,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
40,311534,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
43,34007,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
61,194956,9,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
42,193882,9,0,0,50,1,0,1,0,1,0,1,0,0,1,0,1
55,135339,13,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
27,29261,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
33,67072,9,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
54,139703,10,3103,0,40,0,1,1,0,0,1,1,0,0,1,1,0
48,247895,13,0,0,40,0,1,1,0,1,0,1,0,1,0,0,1
52,202930,13,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
50,20795,10,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
52,104501,10,0,0,60,1,0,1,0,0,1,1,0,0,1,0,1
57,426263,14,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
37,137229,11,0,0,45,0,1,0,1,0,1,0,1,0,1,0,1
52,228516,10,0,0,35,0,1,1,0,0,1,1,0,0,1,0,1
43,164790,10,0,0,50,1,0,0,1,1,0,0,1,1,0,0,1
